gr,shape,colour,opacity,size
B70,circle,black,0.6,1
B71,circle,black,0.6,1
B80,circle,black,0.6,1
B81,circle,black,0.6,1
B82,circle,black,0.6,1
B90,circle,black,0.6,1
B91,circle,black,0.6,1
B92,circle,black,0.6,1
B93,circle,black,0.6,1
C00,circle,black,0.6,1
C01,circle,black,0.6,1
C02,circle,black,0.6,1
C03,circle,black,0.6,1
C34,circle,black,0.6,1
C43,circle,black,0.6,1
C54,circle,black,0.6,1
C70,circle,black,0.6,1
C71,circle,black,0.6,1
C73,circle,black,0.6,1
C81,circle,black,0.6,1
C90,circle,black,0.6,1
C91,circle,black,0.6,1
C92,circle,black,0.6,1
C93,circle,black,0.6,1
D01,circle,black,0.6,1
D02,circle,black,0.6,1
D03,circle,black,0.6,1
D11,circle,black,0.6,1
D12,circle,black,0.6,1
D14,circle,black,0.6,1
D21,circle,black,0.6,1
D22,circle,black,0.6,1
F50,circle,black,0.6,1
F60,circle,black,0.6,1
F63,circle,black,0.6,1
F64,circle,black,0.6,1
F70,circle,black,0.6,1
F71,circle,black,0.6,1
F72,circle,black,0.6,1
F80,circle,black,0.6,1
F81,circle,black,0.6,1
F82,circle,black,0.6,1
F83,circle,black,0.6,1
F84,circle,black,0.6,1
F91,circle,black,0.6,1
F92,circle,black,0.6,1
F93,circle,black,0.6,1
F94,circle,black,0.6,1
G00,circle,black,0.6,1
G01,circle,black,0.6,1
G02,circle,black,0.6,1
G04,circle,black,0.6,1
G10,circle,black,0.6,1
G11,circle,black,0.6,1
G20,circle,black,0.6,1
G21,circle,black,0.6,1
G22,circle,black,0.6,1
G30,circle,black,0.6,1
G32,circle,black,0.6,1
G33,circle,black,0.6,1
G40,circle,black,0.6,1
G41,circle,black,0.6,1
G42,circle,black,0.6,1
G43,circle,black,0.6,1
G50,circle,black,0.6,1
G51,circle,black,0.6,1
G52,circle,black,0.6,1
G57,circle,black,0.6,1
G58,circle,black,0.6,1
G60,circle,black,0.6,1
G61,circle,black,0.6,1
G62,circle,black,0.6,1
G68,circle,black,0.6,1
G75,circle,black,0.6,1
G78,circle,black,0.6,1
G79,circle,black,0.6,1
G80,circle,black,0.6,1
G83,circle,black,0.6,1
G84,circle,black,0.6,1
G85,circle,black,0.6,1
G88,circle,black,0.6,1
G89,circle,black,0.6,1
G95,circle,black,0.6,1
G96,circle,black,0.6,1
G98,circle,black,0.6,1
G99,circle,black,0.6,1
H03,circle,black,0.6,1
H04,circle,black,0.6,1
H05,circle,black,0.6,1
H06,circle,black,0.6,1
H07,circle,black,0.6,1
H08,circle,black,0.6,1
H09,circle,black,0.6,1
H12,circle,black,0.6,1
H13,circle,black,0.6,1
H14,circle,black,0.6,1
H15,circle,black,0.6,1
H16,circle,black,0.6,1
H17,circle,black,0.6,1
H18,circle,black,0.6,1
H21,circle,black,0.6,1
H22,circle,black,0.6,1
H23,circle,black,0.6,1
H24,circle,black,0.6,1
H26,circle,black,0.6,1
H27,circle,black,0.6,1
H28,circle,black,0.6,1
H30,circle,black,0.6,1
H32,circle,black,0.6,1
H34,circle,black,0.6,1
H35,circle,black,0.6,1
H37,circle,black,0.6,1
H47,circle,black,0.6,1
H49,circle,black,0.6,1
H53,circle,black,0.6,1
H57,circle,black,0.6,1
H67,circle,black,0.6,1
H78,circle,black,0.6,1
H79,circle,black,0.6,1
H85,circle,black,0.6,1
H86,circle,black,0.6,1
H89,circle,black,0.6,1
H95,circle,black,0.6,1
H96,circle,black,0.6,1
H99,circle,black,0.6,1
J04,circle,black,0.6,1
J05,circle,black,0.6,1
J06,circle,black,0.6,1
J09,circle,black,0.6,1
J14,circle,black,0.6,1
J16,circle,black,0.6,1
J21,circle,black,0.6,1
J31,circle,black,0.6,1
J57,circle,black,0.6,1
L54,circle,black,0.6,1
L55,circle,black,0.6,1
L56,circle,black,0.6,1
L63,circle,black,0.6,1
L64,circle,black,0.6,1
L65,circle,black,0.6,1
L66,circle,black,0.6,1
L68,circle,black,0.6,1
L69,circle,black,0.6,1
L73,circle,black,0.6,1
L74,circle,black,0.6,1
L75,circle,black,0.6,1
L76,circle,black,0.6,1
L77,circle,black,0.6,1
L78,circle,black,0.6,1
L79,circle,black,0.6,1
L83,circle,black,0.6,1
L84,circle,black,0.6,1
L85,circle,black,0.6,1
L86,circle,black,0.6,1
L87,circle,black,0.6,1
L88,circle,black,0.6,1
L89,circle,black,0.6,1
L92,circle,black,0.6,1
L93,circle,black,0.6,1
L94,circle,black,0.6,1
L95,circle,black,0.6,1
L96,circle,black,0.6,1
L97,circle,black,0.6,1
L98,circle,black,0.6,1
L99,circle,black,0.6,1
M02,circle,black,0.6,1
M03,circle,black,0.6,1
M04,circle,black,0.6,1
M05,circle,black,0.6,1
M06,circle,black,0.6,1
M07,circle,black,0.6,1
M08,circle,black,0.6,1
M09,circle,black,0.6,1
M10,circle,black,0.6,1
M12,circle,black,0.6,1
M13,circle,black,0.6,1
M14,circle,black,0.6,1
M17,circle,black,0.6,1
M18,circle,black,0.6,1
M19,circle,black,0.6,1
M22,circle,black,0.6,1
M23,circle,black,0.6,1
M24,circle,black,0.6,1
M27,circle,black,0.6,1
M29,circle,black,0.6,1
M30,circle,black,0.6,1
M33,circle,black,0.6,1
M35,circle,black,0.6,1
M37,circle,black,0.6,1
M38,circle,black,0.6,1
M44,circle,black,0.6,1
M45,circle,black,0.6,1
M46,circle,black,0.6,1
M47,circle,black,0.6,1
M48,circle,black,0.6,1
M49,circle,black,0.6,1
M53,circle,black,0.6,1
M54,circle,black,0.6,1
M55,circle,black,0.6,1
M56,circle,black,0.6,1
M57,circle,black,0.6,1
M58,circle,black,0.6,1
M59,circle,black,0.6,1
M60,circle,black,0.6,1
M62,circle,black,0.6,1
M63,circle,black,0.6,1
M66,circle,black,0.6,1
M67,circle,black,0.6,1
M68,circle,black,0.6,1
M69,circle,black,0.6,1
M72,circle,black,0.6,1
M73,circle,black,0.6,1
M74,circle,black,0.6,1
M78,circle,black,0.6,1
M79,circle,black,0.6,1
M80,circle,black,0.6,1
M81,circle,black,0.6,1
M82,circle,black,0.6,1
M84,circle,black,0.6,1
M90,circle,black,0.6,1
M91,circle,black,0.6,1
M92,circle,black,0.6,1
M93,circle,black,0.6,1
M96,circle,black,0.6,1
M97,circle,black,0.6,1
N00,circle,black,0.6,1
N01,circle,black,0.6,1
N02,circle,black,0.6,1
N03,circle,black,0.6,1
N04,circle,black,0.6,1
N05,circle,black,0.6,1
N06,circle,black,0.6,1
N07,circle,black,0.6,1
N08,circle,black,0.6,1
N09,circle,black,0.6,1
N10,circle,black,0.6,1
N11,circle,black,0.6,1
N12,circle,black,0.6,1
N13,circle,black,0.6,1
N14,circle,black,0.6,1
N16,circle,black,0.6,1
N17,circle,black,0.6,1
N18,circle,black,0.6,1
N21,circle,black,0.6,1
N22,circle,black,0.6,1
N23,circle,black,0.6,1
N24,circle,black,0.6,1
N25,circle,black,0.6,1
N26,circle,black,0.6,1
N30,circle,black,0.6,1
N32,circle,black,0.6,1
N33,circle,black,0.6,1
N34,circle,black,0.6,1
N36,circle,black,0.6,1
N37,circle,black,0.6,1
N38,circle,black,0.6,1
N40,circle,black,0.6,1
N43,circle,black,0.6,1
N45,circle,black,0.6,1
N46,circle,black,0.6,1
N47,circle,black,0.6,1
N48,circle,black,0.6,1
N52,circle,black,0.6,1
N53,circle,black,0.6,1
N54,circle,black,0.6,1
N56,circle,black,0.6,1
N61,circle,black,0.6,1
N63,circle,black,0.6,1
N64,circle,black,0.6,1
N65,circle,black,0.6,1
N66,circle,black,0.6,1
N68,circle,black,0.6,1
N71,circle,black,0.6,1
N72,circle,black,0.6,1
N73,circle,black,0.6,1
N75,circle,black,0.6,1
N76,circle,black,0.6,1
N77,circle,black,0.6,1
N82,circle,black,0.6,1
N86,circle,black,0.6,1
N98,circle,black,0.6,1
N99,circle,black,0.6,1
O00,circle,black,0.6,1
Q90,circle,black,0.6,1
Q93,circle,black,0.6,1
Q94,circle,black,0.6,1
Q96,circle,black,0.6,1
R00,circle,black,0.6,1
R03,circle,black,0.6,1
R04,circle,black,0.6,1
R13,circle,black,0.6,1
R19,circle,black,0.6,1
R20,circle,black,0.6,1
R23,circle,black,0.6,1
R27,circle,black,0.6,1
R39,circle,black,0.6,1
R47,circle,black,0.6,1
R48,circle,black,0.6,1
R65,circle,black,0.6,1
R66,circle,black,0.6,1
R69,circle,black,0.6,1
R78,circle,black,0.6,1
R79,circle,black,0.6,1
R89,circle,black,0.6,1
R90,circle,black,0.6,1
R97,circle,black,0.6,1
R99,circle,black,0.6,1
S04,circle,black,0.6,1
S09,circle,black,0.6,1
S14,circle,black,0.6,1
S17,circle,black,0.6,1
S18,circle,black,0.6,1
S26,circle,black,0.6,1
S39,circle,black,0.6,1
S48,circle,black,0.6,1
S99,circle,black,0.6,1
T08,circle,black,0.6,1
V55,circle,black,0.6,1
V57,circle,black,0.6,1
V64,circle,black,0.6,1
V65,circle,black,0.6,1
V66,circle,black,0.6,1
V67,circle,black,0.6,1
V68,circle,black,0.6,1
V74,circle,black,0.6,1
V75,circle,black,0.6,1
V77,circle,black,0.6,1
V78,circle,black,0.6,1
V79,circle,black,0.6,1
V84,circle,black,0.6,1
V87,circle,black,0.6,1
V88,circle,black,0.6,1
V98,circle,black,0.6,1
W04,circle,black,0.6,1
W08,circle,black,0.6,1
W09,circle,black,0.6,1
W15,circle,black,0.6,1
W26,circle,black,0.6,1
